,Marca:,Modelo Base:,Versão:,Ano:,Combustível:,Propulsão:,Configuração:,Garantia:,Lugares:,Portas:,Porte:,Procedência:,Valor FIPE:,Alimentação:,Aspiração:,Cilindrada:,Cilindros:,Comando de Válvulas:,Curso do Pistão:,Diâmetro do Cilindro:,Disposição:,Instalação:,Peso-Potência:,Peso-Torque:,Potência Específica:,Potência Máxima:,Razão de Compressão:,Torque Específico:,Torque Máximo:,Válvulas por Cilindro:,Variação do Comando:,Aceleração 0-100 km/h:,Velocidade Máxima:,Consumo Rodoviário (Gasolina):,Consumo Urbano (Gasolina):,Autonomia Rodoviária (Gasolina):,Autonomia Urbana (Gasolina):,Acoplamento:,Câmbio:,Quantidade de Marchas:,Tração:,Altura do Flanco:,Pneus Dianteiros:,Pneus Traseiros:,Freios Dianteiros:,Freios Traseiros:,Suspensão Dianteira:,Elemento Elástico da Suspensão:,Suspensão Traseira:,Assistência de Direção:,Diâmetro Mínimo de Giro:,Altura:,Bitola Dianteira:,Bitola Traseira:,Comprimento:,Distância entre Eixos:,Largura:,Peso:,Porta-Malas:,Tanque de Combustível:,Área Frontal:,Área Frontal Corrigida:,Coeficiente de Arrasto:,url,id,Plataforma:,Rotação de Potência Máxima:,Rotação de Torque Máximo:,Código do Câmbio:,Diâmetro de Giro:,Vão Livre do Solo:,Carga Útil:,Acionamento do Comando:,Observações:,Consumo Rodoviário (Diesel):,Consumo Urbano (Diesel):,Autonomia Rodoviária (Diesel):,Autonomia Urbana (Diesel):,Código do Motor:,Rotação Máxima:,Ângulo Central:,Ângulo de Entrada:,Ângulo de Saída:,Reboque com Freio:,Reboque sem Freio:,Geração:,Série:,Cilindrada unitária:,Tuchos:,Pneu Estepe:,Altura mínima do solo:,Autonomia:,Capacidade de Bateria:,Consumo Elétrico:,Potência:,Potência Combinada:,Torque:,Torque Combinado:,Autonomia Elétrica:,Velocidade Máxima (Modo Elétrico):,Consumo Rodoviário:,Consumo Urbano:,Autonomia Rodoviária:,Autonomia Urbana:,Porta-Malas (5 Lugares):,Porta-Malas (7 Lugares):,Consumo Rodoviário (Álcool):,Consumo Urbano (Álcool):,Autonomia Rodoviária (Álcool):,Autonomia Urbana (Álcool):,Frenagem 0-100 km/h:,Rampa Máxima:,Travessia de Água:,Potência de recarga:,Porta-Malas (6 Lugares):,Inclinação Lateral Máxima:,Viscosidade do óleo:
0,Alfa Romeo,145,145 Elegance 2.0,1996,Gasolina,Combustão,Hatch,1 ano,5,2,Médio,Importado,R$ 16.601 (09/2024),Injeção multiponto,Natural,1969 cm³,4 em linha,"Duplo no cabeçote, correia dentada",91 mm,83 mm,Transversal,Dianteiro,"8,2 kg/cv","65,1 kg/kgfm","76,2 cv/litro",150 cv a 6200 rpm,"9,5:1","9,6 kgfm/litro","18,9 kgfm a 4000 rpm",4,Admissão,9 s,210 km/h,"12,9 km/l","8,9 km/l",787 km,543 km,Embreagem monodisco a seco,Manual,5,Dianteira,117 mm,195/60 R14,195/60 R14,Disco ventilado,Disco sólido,"Independente, McPherson",Mola helicoidal,"Independente, braço semi-arrastado",Hidráulica,11 m,1440 mm,1472 mm,1441 mm,4093 mm,2540 mm,1712 mm,1230 kg,300 litros,61 litros,"2,1 m²","0,672 m²","0,32",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alfa Romeo,155,155 Super 2.0,1995,Gasolina,Combustão,Sedã,1 ano,5,4,Médio,Importado,R$ 17.040 (09/2024),Injeção multiponto,Natural,1969 cm³,4 em linha,Duplo no cabeçote,91 mm,83 mm,Transversal,Dianteiro,"9,1 kg/cv","71,9 kg/kgfm","76,2 cv/litro",150 cv a 6200 rpm,"9,5:1","9,6 kgfm/litro","18,9 kgfm a 4000 rpm",4,,9 s,210 km/h,"12,5 km/l",8 km/l,850 km,544 km,Embreagem monodisco a seco,Manual,5,Dianteira,107 mm,195/55 R15,195/55 R15,Disco ventilado,Disco sólido,"Independente, McPherson",Mola helicoidal,"Independente, braço arrastado",Hidráulica,Não informado,1440 mm,,,4443 mm,2540 mm,1730 mm,1358 kg,403 litros,68 litros,"2,12 m²","0,636 m²","0,3",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Alfa Romeo,155,155 Elegance 2.0,1995,Gasolina,Combustão,Sedã,1 ano,5,4,Médio,Importado,R$ 13.819 (09/2024),Injeção multiponto,Natural,1969 cm³,4 em linha,Duplo no cabeçote,91 mm,83 mm,Transversal,Dianteiro,"9,1 kg/cv","71,9 kg/kgfm","76,2 cv/litro",150 cv a 6200 rpm,"9,5:1","9,6 kgfm/litro","18,9 kgfm a 4000 rpm",4,,9 s,210 km/h,"12,5 km/l",8 km/l,850 km,544 km,,Manual,5,Dianteira,117 mm,195/60 R14,195/60 R14,Disco ventilado,Disco sólido,"Independente, McPherson",Mola helicoidal,"Independente, braço arrastado",Hidráulica,Não informado,1440 mm,,,4443 mm,2540 mm,1730 mm,1358 kg,403 litros,68 litros,"2,12 m²",,"0,3",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Alfa Romeo,164,164 Super 3.0 V6 AT,1995,Gasolina,Combustão,Sedã,1 ano,5,4,Grande,Importado,R$ 26.377 (09/2024),Injeção multiponto,Natural,2959 cm³,6 em V,Duplo no cabeçote,"72,6 mm",93 mm,Transversal,Dianteiro,"7,3 kg/cv","57,5 kg/kgfm","72,7 cv/litro",215 cv,10:1,"9,3 kgfm/litro","27,5 kgfm",4,,9 s,235 km/h,"8,5 km/l",6 km/l,595 km,420 km,Conversor de torque,Automático,4,Dianteira,127 mm,195/65 R15,195/65 R15,Disco ventilado,Disco sólido,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",Hidráulica,,1400 mm,1515 mm,1488 mm,4555 mm,2660 mm,1760 mm,kg,504 litros,70 litros,"2,09 m²","0,648 m²","0,31",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,Type Four,6300 rpm,5000 rpm,ZF 4HP,"10,8 m",140 mm,425 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Alfa Romeo,164,164 Super 3.0 V6,1995,Gasolina,Combustão,Sedã,1 ano,5,4,Grande,Importado,R$ 26.377 (09/2024),Injeção multiponto,Natural,2959 cm³,6 em V,Duplo no cabeçote,"72,6 mm",93 mm,Transversal,Dianteiro,"7,0 kg/cv","54,8 kg/kgfm","72,7 cv/litro",215 cv a 6300 rpm,10:1,"9,3 kgfm/litro","27,5 kgfm a 5000 rpm",4,,"8,1 s",240 km/h,"10,8 km/l","7,5 km/l",756 km,525 km,Embreagem monodisco a seco,Manual,5,Dianteira,127 mm,195/65 R15,195/65 R15,Disco ventilado,Disco sólido,"Independente, McPherson",Mola helicoidal,"Independente, braços sobrepostos",Hidráulica,"10,8 m",1400 mm,1515 mm,1488 mm,4555 mm,2660 mm,1760 mm,1507 kg,504 litros,70 litros,"2,09 m²","0,648 m²","0,31",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,,,,C503,,140 mm,425 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Alfa Romeo,164,164 3.0 V6,1991,Gasolina,Combustão,Sedã,1 ano,5,4,Grande,Importado,R$ 9.729 (09/2024),Injeção multiponto,Natural,2959 cm³,6 em V,Único no cabeçote,"72,6 mm",93 mm,Transversal,Dianteiro,"7,1 kg/cv","54,6 kg/kgfm","64,9 cv/litro",192 cv a 5800 rpm,"9,5:1","8,4 kgfm/litro",25 kgfm a 3000 rpm,2,,"8,7 s",230 km/h,"12,5 km/l","8,3 km/l",875 km,581 km,Embreagem monodisco a seco,Manual,5,Dianteira,127 mm,195/65 R15,195/65 R15,Disco ventilado,Disco sólido,"Independente, McPherson",Mola helicoidal,"Independente, braços sobrepostos",Hidráulica,"10,8 m",1400 mm,1515 mm,1488 mm,4555 mm,2660 mm,1760 mm,1365 kg,504 litros,70 litros,"2,09 m²","0,648 m²","0,31",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,,,,C503,,140 mm,425 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Alfa Romeo,2300,2300 Ti4 2.3,1982,Gasolina,Combustão,Sedã,1 ano,5,4,Grande,Nacional,,Carburador,Natural,2310 cm³,4 em linha,Duplo no cabeçote,95 mm,88 mm,Longitudinal,Dianteiro,"9,6 kg/cv","59,4 kg/kgfm","64,5 cv/litro",149 cv a 5500 rpm,"7,9:1","10,4 kgfm/litro",24 kgfm,2,,"13,9 s",171 km/h,"9,6 km/l","5,1 km/l",960 km,510 km,Embreagem monodisco a seco,Manual,5,Traseira,137 mm,195/70 R14,195/70 R14,Disco sólido,Disco sólido,"Indep., braços sobrepostos",Mola helicoidal,Eixo rígido,Hidráulica,,1362 mm,1397 mm,1400 mm,4719 mm,2717 mm,1692 mm,1426 kg,436 litros,100 litros,,,,https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,,5500 rpm,3400 rpm,,Não informado,150 mm,,Corrente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Alfa Romeo,2300,2300 Ti 2.3,1977,Gasolina,Combustão,Sedã,1 ano,5,4,Grande,Nacional,,Carburador,Natural,2310 cm³,4 em linha,"Duplo no cabeçote, corrente",95 mm,88 mm,Longitudinal,Dianteiro,"9,8 kg/cv","64,4 kg/kgfm","61,0 cv/litro",141 cv a 5700 rpm,"7,5:1","9,3 kgfm/litro","21,5 kgfm a 3500 rpm",2,,"14,8 s",166 km/h,"9,6 km/l","5,1 km/l",960 km,510 km,Embreagem monodisco a seco,Manual,5,Traseira,130 mm,185/70 R14,185/70 R14,Disco sólido,Disco sólido,"Independente, braços sobrepostos",Mola helicoidal,Eixo rígido,Não assistida,"13,2 m",1440 mm,1397 mm,1400 mm,4692 mm,2729 mm,1692 mm,1385 kg,436 litros,100 litros,,,,https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,,,,,,150 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Alfa Romeo,2300,2300 B 2.3,1977,Gasolina,Combustão,Sedã,1 ano,5,4,Grande,Nacional,,Carburador,Natural,2310 cm³,4 em linha,"Duplo no cabeçote, corrente",95 mm,88 mm,Longitudinal,Dianteiro,"9,8 kg/cv","64,4 kg/kgfm","61,0 cv/litro",141 cv a 5700 rpm,"7,5:1","9,3 kgfm/litro","21,5 kgfm a 3500 rpm",2,,"14,8 s",166 km/h,"9,6 km/l","5,1 km/l",960 km,510 km,Embreagem monodisco a seco,Manual,5,Traseira,130 mm,185/70 R14,185/70 R14,Disco sólido,Disco sólido,"Independente, braços sobrepostos",Mola helicoidal,Eixo rígido,Não assistida,"13,2 m",1440 mm,1397 mm,1400 mm,4692 mm,2729 mm,1692 mm,1385 kg,436 litros,100 litros,,,,https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,,,,,,150 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Alfa Romeo,2300,2300 2.3,1974,Gasolina,Combustão,Sedã,1 ano,5,4,Grande,Nacional,,Carburador,Natural,2310 cm³,4 em linha,"Duplo no cabeçote, corrente",95 mm,88 mm,Longitudinal,Dianteiro,"9,7 kg/cv","64,8 kg/kgfm","60,6 cv/litro",140 cv a 5700 rpm,"7,5:1","9,1 kgfm/litro",21 kgfm a 3500 rpm,2,,"11,7 s",169 km/h,"9,6 km/l","5,1 km/l",960 km,510 km,Embreagem monodisco a seco,Manual,5,Traseira,130 mm,185/70 R14,185/70 R14,Disco sólido,Disco sólido,"Independente, braços sobrepostos",Mola helicoidal,Eixo rígido,Não assistida,"13,2 m",1463 mm,1397 mm,1400 mm,4692 mm,2729 mm,1692 mm,1360 kg,436 litros,100 litros,,,,https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,,,,,,150 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
